Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,53.51,23.68,-55.74
AUC for Cl (0-inf),mM*sec,98.09,40.63,-58.57
Biliary excretion rate,mL/min/100cm3,2.66,6.34,138.28
Biliary tissue excretion rate,mL/min/100cm3,3.95,8.59,117.26
Extracellular dispersion,%,90.08,88.23,-2.06
Extracellular mean transit time,sec,59.79,59.92,0.21
Final biliary excretion rate,mL/min/100cm3,6.72,6.19,-7.97
Final hepatocellular uptake rate,mL/min/100cm3,18.55,1.63,-91.23
Hematocrit,%,45.0,45.0,0.0
Hepatocellular mean transit time,min,25.29,11.64,-53.97
Hepatocellular tissue uptake rate,mL/min/100cm3,38.48,7.89,-79.49
Hepatocellular uptake rate,mL/min/100cm3,12.6,2.07,-83.57
Initial biliary excretion rate,mL/min/100cm3,1.66,6.49,291.8
Initial hepatocellular uptake rate,mL/min/100cm3,6.64,2.51,-62.16
Liver T1-MOLLI at 45min,sec,0.87,0.92,5.19
Liver T1-MOLLI at baseline,sec,1.08,1.0,-7.71
Liver T1-MOLLI at scan 2,sec,0.91,0.92,0.46
Liver blood clearance,L/min,0.13,0.02,-83.3
Liver extracellular volume fraction,mL/100cm3,32.74,26.23,-19.88
RE for R1l at 20min,%,26.04,11.05,-57.55
RE for Sl at 20min,%,20.11,12.47,-37.98
